NHHINC,HFIN_YN,HPRES_MORT,HDIV_YN,NHUNDER18,HINT_YN,NRPP
0.024390244,2,2,2,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0.414634146,2,2,2,0,0,0.846740051
0.43902439,2,1,2,0.1,1,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0.853658537,2,1,2,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0.097560976,2,2,2,0,0,0.846740051
0.268292683,2,1,2,0,0,0.846740051
0.756097561,2,2,2,0,0,0.846740051
1,2,2,2,0,0,0.846740051
0.317073171,2,2,2,0,0,0.846740051
1,2,1,2,0,0,0.846740051
0.585365854,2,0,2,0.1,1,0.846740051
0.853658537,2,0,2,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0.195121951,2,2,2,0,0,0.846740051
1,2,1,2,0,0,0.846740051
0.585365854,2,2,2,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0.365853659,2,0,2,0,0,0.846740051
0.512195122,2,2,1,0,0,0.846740051
0.341463415,2,1,2,0.1,1,0.846740051
1,2,1,2,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0.756097561,2,2,1,0.1,1,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
1,2,2,1,0.2,2,0.846740051
1,2,1,1,0.1,1,0.846740051
1,2,1,2,0,0,0.846740051
1,2,2,2,0,0,0.846740051
0.219512195,2,0,2,0.1,1,0.846740051
0.170731707,2,2,2,0,0,0.846740051
0.87804878,2,2,2,0,0,0.846740051
0.195121951,2,2,2,0,0,0.846740051
0.341463415,2,1,2,0,0,0.846740051
1,2,2,2,0,0,0.846740051
0.609756098,2,0,1,0,0,0.846740051
0.536585366,2,2,2,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0,0,0,0,0,0,0.846740051
0.024390244,2,0,2,0.2,2,0.846740051
0,0,0,0,0,0,0.846740051
0.682926829,2,0,1,0,0,0.846740051
0,0,0,0,0,0,0.846740051
1,2,1,1,0,0,0.846740051
