HHINC,FINC_FIN,HPRES_MORT,HDIV_YN,FOWNU18,HINT_YN,RPP
0,2,0,0,1,0,86.4
0,2,0,0,0,0,86.4
35,2,2,2,0,1,86.4
0,2,0,0,0,0,86.4
0,2,0,0,0,0,86.4
23,2,0,2,1,1,86.4
20,2,1,2,1,1,86.4
0,2,0,0,0,0,86.4
18,2,2,2,0,2,86.4
13,2,1,2,1,2,86.4
34,2,2,2,0,2,86.4
0,2,0,0,0,0,86.4
25,2,2,2,1,2,86.4
0,2,0,0,3,0,86.4
41,2,2,2,3,1,86.4
23,2,2,2,2,2,86
0,2,0,0,0,0,86
0,2,0,0,0,0,86
0,2,0,0,4,0,86
21,2,2,2,0,1,86
1,2,1,2,1,2,86
41,2,1,2,1,1,86
10,2,0,2,0,2,86
41,2,0,2,0,1,86
0,2,0,0,0,0,86
0,2,0,0,0,0,86
1,2,2,2,2,2,86
17,2,2,2,0,2,86
0,2,0,0,0,0,86
21,2,1,2,2,1,86
41,2,1,2,0,1,86
41,2,2,2,0,2,86
41,2,2,2,0,1,86
41,2,2,1,0,1,86
10,1,1,2,0,2,86
7,2,2,2,1,2,85.3
17,2,2,2,0,2,85.3
5,2,0,2,0,2,85.3
41,2,0,1,2,1,85.3
21,2,0,2,1,2,85.3
23,2,2,2,2,1,85.3
41,2,0,2,0,1,85.3
9,2,2,2,4,2,85.3
0,2,0,0,0,0,85.3
34,2,2,2,2,1,85.3
11,2,2,2,1,1,85.3
0,2,0,0,6,0,85.3
27,2,1,2,0,2,85.3
23,2,0,1,0,1,85.3
0,2,0,0,0,0,85.3
12,2,2,2,0,1,85.3
0,2,0,0,0,0,85.3
9,2,0,2,0,2,85.3
0,2,0,0,0,0,89.1
4,2,0,2,0,2,89.1
41,2,0,1,0,1,89.1
14,2,2,1,0,1,89.1
20,2,0,2,0,2,89.1
0,2,0,0,3,0,89.1
0,2,0,0,2,0,89.1
30,2,1,2,0,1,89.1
29,2,1,2,0,1,89.1
10,2,0,2,0,2,89.1
40,2,1,2,0,1,89.1
16,2,2,2,2,2,89.1
41,2,1,2,0,1,89.1
41,2,1,2,0,1,89.1
0,2,0,0,0,0,89.1
0,2,0,0,0,0,89.1
32,2,0,2,0,1,89.1
0,2,0,0,0,0,89.1
